Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.5111401093905787,0.46577058273275845,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Anaphase,0.5112072515568101,0.427538768926877,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Apoptosis,0.5035228267799975,0.3716946099696297,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Binuclear,0.5071251374935525,0.4363648227912977,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Elongated,0.5150166683594898,0.525632407424885,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Folded,0.5198329549611557,0.4635629947971758,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Grape,0.5081866507916569,0.3609126289894626,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Hole,0.5107636584490023,0.4767874701749693,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Interphase,0.503799801725742,0.4299616686395456,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Large,0.5105919928841238,0.41034370164764045,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Metaphase,0.5057655735695876,0.34512827307216737,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
MetaphaseAlignment,0.5058354093648462,0.4340602076224371,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
OutOfFocus,0.5078215147813839,0.5623991983304011,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Polylobed,0.5023768527466028,0.442970564250676,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
Prometaphase,0.5029538236721544,0.43797105623874055,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
SmallIrregular,0.5102137100023674,0.5137927795191732,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
neg_control,0.5053376629043725,0.43104808849766396,0.4517225040625164,0.34512827307216737,False,False,phenotypes_shuffled,DP
